                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1501,                 1.5108,                 1.2525,                0.39402,                0.53503,                0.44539,                0.30836,                 1.3771,                 2.2138,                 1.3591,             0.00019795,             0.00019795,             0.00019795
                     35,                 1.1347,                  1.486,                 1.2426,                0.47028,                0.41063,                0.47551,                0.32162,                 1.4781,                 2.2119,                 1.4307,             0.00019504,             0.00019504,             0.00019504
                     36,                 1.1286,                 1.4828,                 1.2364,                0.33363,                0.50892,                0.45705,                0.31353,                 1.4416,                 2.2957,                 1.4307,             0.00019213,             0.00019213,             0.00019213
                     37,                 1.1277,                 1.5074,                 1.2462,                0.62297,                0.38128,                0.45996,                0.31666,                 1.4688,                 2.3605,                 1.4249,             0.00018922,             0.00018922,             0.00018922
                     38,                 1.1082,                 1.4705,                 1.2384,                0.48069,                0.41837,                0.46287,                0.32875,                 1.4203,                 2.2526,                 1.3913,             0.00018631,             0.00018631,             0.00018631
                     39,                 1.1225,                 1.4567,                 1.2434,                0.36437,                0.48564,                0.42596,                 0.2904,                 1.4029,                 2.3288,                 1.3913,              0.0001834,              0.0001834,              0.0001834
                     40,                 1.1187,                 1.4422,                 1.2318,                0.44671,                0.43513,                0.46511,                0.32397,                  1.435,                 2.2322,                 1.3947,             0.00018049,             0.00018049,             0.00018049
                     41,                 1.1325,                 1.4447,                 1.2486,                0.47697,                0.52682,                0.49085,                0.33455,                 1.3929,                 2.1375,                 1.3834,             0.00017758,             0.00017758,             0.00017758
                     42,                 1.1149,                 1.4259,                 1.2301,                0.31303,                0.54335,                0.45239,                0.31727,                 1.4417,                  2.133,                 1.3994,             0.00017467,             0.00017467,             0.00017467
                     43,                 1.1256,                 1.4424,                 1.2418,                  0.401,                 0.4978,                0.46739,                0.32655,                 1.4281,                 2.2445,                 1.3843,             0.00017175,             0.00017175,             0.00017175
                     44,                 1.1099,                 1.4309,                 1.2306,                0.42037,                0.45721,                0.47695,                 0.3465,                 1.4001,                 2.1207,                 1.3699,             0.00016884,             0.00016884,             0.00016884
                     45,                 1.1073,                 1.4234,                 1.2322,                0.34528,                0.53295,                0.48661,                0.34467,                 1.3772,                 2.3309,                 1.3721,             0.00016593,             0.00016593,             0.00016593
                     46,                 1.1106,                 1.3759,                 1.2235,                0.33206,                0.52629,                0.46848,                0.32905,                 1.3877,                 2.2434,                 1.3757,             0.00016302,             0.00016302,             0.00016302
                     47,                 1.0874,                 1.3561,                 1.2168,                  0.514,                0.48345,                 0.5542,                0.39758,                 1.3974,                 2.2287,                 1.3849,             0.00016011,             0.00016011,             0.00016011
                     48,                 1.0957,                 1.3784,                 1.2253,                0.40564,                0.47579,                0.47186,                0.34199,                 1.3912,                 2.0518,                 1.3599,              0.0001572,              0.0001572,              0.0001572
                     49,                 1.1091,                 1.3821,                 1.2247,                0.35266,                0.55376,                0.48132,                0.32866,                 1.4229,                  2.246,                  1.394,             0.00015429,             0.00015429,             0.00015429
                     50,                 1.0977,                 1.3465,                 1.2184,                0.42986,                0.43315,                0.46436,                0.31782,                 1.4259,                 2.2335,                 1.3848,             0.00015138,             0.00015138,             0.00015138
                     51,                 1.0858,                 1.3379,                 1.2154,                0.51772,                0.46371,                0.50583,                0.34193,                 1.4308,                 2.2449,                 1.3908,             0.00014847,             0.00014847,             0.00014847
                     52,                 1.0916,                 1.3207,                 1.2212,                0.50161,                0.49634,                0.48848,                0.34637,                 1.4448,                 2.1108,                 1.3975,             0.00014556,             0.00014556,             0.00014556
                     53,                  1.077,                 1.3284,                 1.2126,                0.43919,                0.46732,                0.51292,                0.35013,                  1.461,                 2.2171,                 1.4196,             0.00014265,             0.00014265,             0.00014265
                     54,                 1.0905,                 1.2981,                 1.2119,                0.44577,                0.46895,                0.48741,                0.33842,                 1.4026,                 2.1768,                 1.3792,             0.00013974,             0.00013974,             0.00013974
                     55,                 1.0903,                 1.2899,                 1.2149,                0.40991,                0.43792,                0.48106,                 0.3449,                 1.4126,                 2.1601,                 1.3917,             0.00013683,             0.00013683,             0.00013683
                     56,                  1.089,                 1.2745,                 1.2165,                0.52096,                0.46686,                0.56035,                 0.3898,                 1.4081,                 2.1364,                 1.3997,             0.00013392,             0.00013392,             0.00013392
                     57,                 1.0747,                 1.2772,                 1.2093,                0.48807,                0.41822,                0.46253,                0.33892,                 1.4189,                 2.2871,                 1.4019,             0.00013101,             0.00013101,             0.00013101
                     58,                 1.0777,                 1.2812,                 1.2061,                0.71853,                0.41084,                 0.5366,                0.37618,                 1.4239,                 2.2151,                 1.3741,              0.0001281,              0.0001281,              0.0001281
                     59,                 1.0794,                 1.2752,                 1.2134,                0.34351,                0.52971,                0.47257,                 0.3446,                 1.4274,                 2.0848,                 1.3818,             0.00012519,             0.00012519,             0.00012519
                     60,                 1.0751,                 1.2755,                 1.2146,                0.40496,                0.54161,                0.51421,                0.36375,                 1.4571,                 2.0729,                 1.4193,             0.00012227,             0.00012227,             0.00012227
                     61,                 1.0687,                 1.2422,                 1.2008,                0.49188,                0.43506,                 0.4999,                0.35908,                 1.4341,                 2.1618,                  1.405,             0.00011936,             0.00011936,             0.00011936
                     62,                 1.0627,                  1.235,                 1.1959,                0.50457,                0.48178,                0.50656,                0.36415,                 1.4507,                 2.1398,                 1.4344,             0.00011645,             0.00011645,             0.00011645
                     63,                 1.0784,                 1.2367,                  1.205,                0.44531,                0.57787,                0.56963,                0.38902,                 1.4339,                 2.1185,                  1.428,             0.00011354,             0.00011354,             0.00011354
                     64,                 1.0655,                 1.2225,                 1.1978,                 0.3901,                 0.4564,                0.46277,                0.33336,                 1.4308,                 2.1834,                 1.4058,             0.00011063,             0.00011063,             0.00011063
                     65,                 1.0573,                 1.2166,                 1.1964,                0.49254,                0.51258,                0.52191,                0.37208,                 1.4224,                 2.1068,                 1.3905,             0.00010772,             0.00010772,             0.00010772
                     66,                 1.0646,                 1.2252,                 1.2008,                0.39477,                0.53554,                0.52897,                0.36138,                 1.4312,                 2.1447,                 1.4157,             0.00010481,             0.00010481,             0.00010481
                     67,                 1.0618,                 1.2101,                 1.1993,                0.43023,                0.51078,                0.50096,                0.35973,                  1.443,                 2.1641,                 1.4246,              0.0001019,              0.0001019,              0.0001019
                     68,                 1.0777,                 1.2117,                 1.2055,                0.35518,                0.55533,                0.53114,                0.37421,                 1.4163,                 2.0737,                 1.4015,              9.899e-05,              9.899e-05,              9.899e-05
                     69,                 1.0498,                 1.2042,                 1.1931,                0.50599,                0.46493,                0.51911,                 0.3717,                 1.4284,                 2.0496,                 1.4041,             9.6079e-05,             9.6079e-05,             9.6079e-05
                     70,                 1.0409,                 1.1848,                   1.19,                0.56451,                0.41246,                0.52057,                0.37911,                   1.39,                 2.1138,                 1.3864,             9.3169e-05,             9.3169e-05,             9.3169e-05
                     71,                 1.0645,                 1.1715,                 1.1933,                0.45148,                0.54518,                0.53444,                0.38063,                 1.4326,                 2.1212,                 1.3994,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     72,                 1.0444,                 1.1874,                  1.195,                 0.4679,                0.46618,                0.51417,                 0.3678,                 1.4368,                 2.1566,                 1.3972,             8.7347e-05,             8.7347e-05,             8.7347e-05
                     73,                  1.048,                 1.1734,                 1.1917,                0.46145,                0.49482,                0.56774,                0.39835,                 1.4313,                 2.1431,                 1.4108,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     74,                 1.0411,                 1.1708,                 1.1891,                0.49642,                0.49662,                0.55684,                0.38617,                 1.4429,                 2.0663,                 1.4314,             8.1526e-05,             8.1526e-05,             8.1526e-05
                     75,                 1.0527,                  1.178,                  1.191,                0.53538,                0.44087,                0.52808,                0.37101,                 1.4254,                 2.1119,                 1.4136,             7.8616e-05,             7.8616e-05,             7.8616e-05
                     76,                 1.0444,                   1.14,                 1.1875,                0.37108,                0.52541,                0.49843,                0.34844,                 1.4085,                 2.1669,                 1.4044,             7.5705e-05,             7.5705e-05,             7.5705e-05
