                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6651,                  4.467,                 1.9038,                0.02265,                0.07225,                0.02836,                 0.0185,                 1.6808,                  4.927,                 2.0198,             0.00013627,             0.00013627,             0.00013627
                      2,                 1.5451,                 4.1518,                   1.83,                0.71912,                0.03077,                0.05945,                0.03858,                 1.6489,                 4.6526,                 2.0993,             0.00027255,             0.00027255,             0.00027255
                      3,                 1.6001,                 3.8676,                 1.8455,                0.32117,                0.09918,                0.06628,                0.03637,                 1.8338,                 4.6147,                 2.1826,             0.00040607,             0.00040607,             0.00040607
                      4,                 1.6249,                  3.684,                 1.8833,                0.32201,                0.16006,                 0.0844,                0.03902,                 1.8818,                 4.6961,                 2.4216,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.6318,                 3.4209,                 1.8682,                0.56309,                0.11973,                0.12736,                0.07617,                 1.7463,                 4.0733,                 2.2262,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.6246,                 3.3516,                 1.8601,                0.44293,                 0.1745,                0.14453,                0.07716,                 1.9015,                 4.0067,                 2.1915,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.6153,                 3.2746,                 1.8458,                0.46337,                 0.1857,                0.16057,                0.08526,                 1.7967,                 3.9025,                 2.1932,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.5715,                 3.2193,                 1.8389,                0.38183,                 0.2155,                0.14994,                 0.0827,                 1.8193,                 3.8416,                 2.1732,              0.0003881,              0.0003881,              0.0003881
                      9,                  1.556,                 3.0292,                 1.8092,                0.46152,                0.20647,                0.19726,                0.11558,                 1.7785,                 3.6786,                 2.1752,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.5608,                 3.0108,                 1.8282,                0.42678,                0.26792,                0.23049,                0.12078,                 1.7443,                 3.6699,                 2.1554,             0.00037985,             0.00037985,             0.00037985
                     11,                 1.5072,                 2.8993,                 1.7781,                0.39778,                0.27467,                0.22217,                0.13223,                 1.6477,                  3.663,                 2.0789,             0.00037572,             0.00037572,             0.00037572
                     12,                 1.5225,                 2.8596,                 1.7505,                0.39387,                0.21092,                0.21178,                0.12544,                 1.8415,                 3.6286,                 2.1517,             0.00037159,             0.00037159,             0.00037159
                     13,                  1.516,                  2.796,                 1.7504,                0.60543,                0.22113,                0.26165,                0.14437,                 1.7224,                 3.3584,                 2.1969,             0.00036746,             0.00036746,             0.00036746
                     14,                 1.4749,                 2.6872,                 1.7275,                0.45564,                0.23855,                0.24464,                0.14163,                 1.7742,                 3.5069,                 2.1715,             0.00036333,             0.00036333,             0.00036333
                     15,                 1.5195,                 2.6423,                 1.7438,                0.63058,                0.23857,                0.27537,                0.16197,                 1.7418,                 3.2442,                 2.1328,              0.0003592,              0.0003592,              0.0003592
                     16,                 1.5095,                 2.5961,                 1.7419,                0.33699,                0.26954,                0.23887,                0.13858,                 1.7539,                 3.4756,                   2.18,             0.00035508,             0.00035508,             0.00035508
                     17,                 1.4354,                 2.4927,                 1.6948,                0.55677,                 0.2021,                0.25507,                0.14728,                  1.777,                 3.5085,                 2.1882,             0.00035095,             0.00035095,             0.00035095
                     18,                 1.4718,                 2.5087,                 1.7192,                0.50105,                0.25277,                0.27154,                0.16589,                 1.7557,                 3.2825,                 2.1129,             0.00034682,             0.00034682,             0.00034682
                     19,                 1.4232,                 2.4057,                 1.6802,                0.49852,                0.25925,                0.26852,                0.15577,                 1.7426,                 3.1405,                 2.1059,             0.00034269,             0.00034269,             0.00034269
                     20,                 1.4666,                 2.3376,                 1.7009,                0.44744,                0.28529,                0.27861,                 0.1576,                 1.7518,                 3.2021,                 2.1595,             0.00033856,             0.00033856,             0.00033856
                     21,                 1.4013,                 2.2706,                 1.6482,                0.59621,                 0.2474,                0.27814,                0.16612,                 1.7572,                 3.1954,                 2.1685,             0.00033443,             0.00033443,             0.00033443
                     22,                 1.4212,                 2.3096,                 1.6783,                0.53923,                0.27815,                 0.2979,                0.17565,                 1.7057,                 3.1111,                 2.1088,             0.00033031,             0.00033031,             0.00033031
                     23,                 1.4454,                 2.2624,                 1.6625,                0.52256,                 0.2482,                0.26432,                0.15388,                 1.7395,                 3.1002,                 2.1715,             0.00032618,             0.00032618,             0.00032618
