                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4184,                 2.2419,                 1.6561,                0.42147,                0.28535,                0.29632,                0.17973,                 1.6922,                   3.03,                 2.1022,             0.00032205,             0.00032205,             0.00032205
                     25,                 1.4069,                 2.1246,                 1.6568,                0.61727,                0.26032,                0.29558,                0.18259,                 1.6879,                 2.9804,                 2.0862,             0.00031792,             0.00031792,             0.00031792
                     26,                 1.3956,                 2.1342,                 1.6822,                0.57728,                0.27117,                0.31811,                0.18503,                 1.7161,                 3.0124,                 2.1436,             0.00031379,             0.00031379,             0.00031379
                     27,                  1.372,                 2.0981,                 1.6226,                0.55469,                0.31041,                0.31738,                0.17663,                 1.7165,                 2.9512,                  2.133,             0.00030966,             0.00030966,             0.00030966
                     28,                 1.3813,                 2.1036,                 1.6249,                0.41415,                0.27731,                0.27268,                0.15934,                 1.7422,                 3.0778,                 2.1083,             0.00030554,             0.00030554,             0.00030554
                     29,                 1.3696,                 2.0731,                  1.627,                 0.4898,                0.30364,                0.29966,                0.17947,                 1.7154,                 3.0052,                 2.1193,             0.00030141,             0.00030141,             0.00030141
                     30,                 1.3822,                 2.0448,                 1.6206,                0.39645,                0.30343,                 0.2945,                0.16791,                 1.7746,                 2.9455,                 2.0854,             0.00029728,             0.00029728,             0.00029728
                     31,                 1.3373,                 1.9447,                 1.5931,                0.52497,                0.26498,                0.29212,                0.16366,                 1.7412,                 3.1251,                 2.1583,             0.00029315,             0.00029315,             0.00029315
                     32,                 1.3279,                 1.9412,                 1.5847,                0.47129,                0.27185,                0.29918,                 0.1768,                 1.7162,                 2.9977,                   2.14,             0.00028902,             0.00028902,             0.00028902
                     33,                 1.3481,                 1.8945,                  1.598,                0.46749,                0.25898,                0.29381,                0.17122,                 1.7619,                 2.8944,                 2.0968,             0.00028489,             0.00028489,             0.00028489
                     34,                 1.3066,                 1.9035,                 1.5684,                 0.4687,                0.29792,                0.29721,                0.17937,                 1.6828,                 2.8787,                 2.0747,             0.00028077,             0.00028077,             0.00028077
                     35,                 1.3419,                 1.8735,                 1.5849,                0.44458,                 0.3007,                0.32174,                0.19184,                 1.7618,                 2.8256,                 2.1137,             0.00027664,             0.00027664,             0.00027664
                     36,                 1.3575,                 1.9154,                 1.5913,                0.38832,                0.32926,                0.31289,                0.16878,                 1.7551,                 2.9308,                 2.1616,             0.00027251,             0.00027251,             0.00027251
                     37,                 1.2973,                  1.818,                 1.5541,                 0.3519,                0.33287,                0.32285,                  0.185,                 1.7352,                 2.9391,                 2.1263,             0.00026838,             0.00026838,             0.00026838
                     38,                 1.3049,                 1.7614,                  1.554,                0.34159,                 0.3267,                0.32173,                0.18027,                 1.7675,                 2.8209,                 2.1467,             0.00026425,             0.00026425,             0.00026425
                     39,                 1.2873,                 1.7409,                 1.5435,                 0.4106,                0.34792,                0.34768,                0.18976,                 1.7235,                 2.8499,                 2.1305,             0.00026012,             0.00026012,             0.00026012
                     40,                 1.2868,                 1.7372,                 1.5289,                0.43733,                 0.3036,                0.31373,                0.17265,                 1.7856,                 2.8006,                 2.1182,               0.000256,               0.000256,               0.000256
                     41,                 1.2613,                 1.6633,                 1.5329,                0.44748,                0.35788,                0.32152,                0.18582,                 1.7108,                  2.806,                 2.0896,             0.00025187,             0.00025187,             0.00025187
                     42,                 1.2968,                 1.7236,                 1.5864,                0.45377,                  0.307,                0.33105,                0.18983,                 1.7318,                  2.745,                 2.1014,             0.00024774,             0.00024774,             0.00024774
                     43,                 1.2541,                 1.6763,                 1.5119,                0.48648,                0.33897,                0.34623,                0.19434,                 1.7511,                 2.7706,                 2.1574,             0.00024361,             0.00024361,             0.00024361
                     44,                 1.2472,                 1.6777,                 1.5203,                0.41922,                0.30664,                0.31543,                0.17842,                 1.7256,                  2.886,                 2.1209,             0.00023948,             0.00023948,             0.00023948
                     45,                 1.2436,                 1.6111,                 1.5034,                0.57927,                 0.2865,                0.34523,                0.20957,                 1.7162,                  2.696,                 2.0913,             0.00023535,             0.00023535,             0.00023535
                     46,                   1.22,                 1.6119,                 1.4885,                0.45469,                0.31445,                0.32856,                0.18952,                 1.7432,                 2.8189,                 2.1522,             0.00023123,             0.00023123,             0.00023123
                     47,                 1.2096,                 1.5854,                 1.4865,                0.39874,                 0.3733,                0.33678,                0.19177,                 1.7577,                 2.8219,                 2.1057,              0.0002271,              0.0002271,              0.0002271
                     48,                 1.1862,                 1.5042,                 1.4606,                0.50333,                0.31929,                  0.353,                0.20458,                 1.7008,                  2.808,                 2.0987,             0.00022297,             0.00022297,             0.00022297
                     49,                  1.216,                 1.5405,                 1.4872,                0.41346,                0.37029,                0.34738,                0.19067,                 1.7336,                  2.791,                 2.1739,             0.00021884,             0.00021884,             0.00021884
                     50,                 1.1907,                 1.5169,                 1.4683,                0.43666,                 0.3877,                0.35549,                0.20341,                 1.7937,                 2.7551,                 2.1805,             0.00021471,             0.00021471,             0.00021471
                     51,                 1.2151,                 1.4985,                 1.4884,                0.53886,                   0.35,                0.34961,                0.20069,                 1.7504,                 2.6882,                 2.1337,             0.00021059,             0.00021059,             0.00021059
                     52,                 1.2326,                 1.5277,                 1.5055,                 0.4397,                0.34493,                0.33906,                 0.1906,                 1.7859,                   2.72,                 2.1569,             0.00020646,             0.00020646,             0.00020646
                     53,                 1.1687,                 1.4754,                 1.4327,                0.39915,                0.34848,                0.33201,                0.19575,                   1.79,                 2.7327,                 2.2103,             0.00020233,             0.00020233,             0.00020233
                     54,                 1.1335,                 1.5064,                 1.4119,                0.42261,                0.36126,                0.35134,                0.19947,                 1.7865,                 2.6057,                 2.1203,              0.0001982,              0.0001982,              0.0001982
                     55,                 1.1443,                 1.4631,                 1.4211,                0.43662,                0.31527,                0.32429,                0.18363,                 1.8215,                 2.7145,                 2.1831,             0.00019407,             0.00019407,             0.00019407
                     56,                 1.1669,                 1.4461,                 1.4428,                0.43789,                0.37794,                0.36112,                0.19591,                 1.8211,                 2.7224,                 2.1747,             0.00018994,             0.00018994,             0.00018994
                     57,                 1.1506,                 1.3951,                 1.4333,                0.45907,                0.35046,                0.36692,                0.21648,                 1.7649,                  2.592,                 2.1589,             0.00018582,             0.00018582,             0.00018582
                     58,                 1.1225,                 1.3738,                 1.4233,                0.50491,                0.33974,                0.35353,                 0.2043,                 1.7554,                 2.6766,                 2.1757,             0.00018169,             0.00018169,             0.00018169
                     59,                 1.1371,                  1.377,                  1.423,                0.39789,                0.34928,                0.31908,                0.18556,                 1.7631,                 2.7432,                 2.1412,             0.00017756,             0.00017756,             0.00017756
                     60,                 1.1161,                 1.3347,                 1.3997,                0.46564,                0.33367,                0.33943,                0.19681,                 1.7871,                 2.7633,                  2.182,             0.00017343,             0.00017343,             0.00017343
                     61,                  1.122,                 1.3877,                 1.4048,                0.57634,                0.34471,                0.36253,                0.20427,                 1.8187,                 2.6891,                 2.1983,              0.0001693,              0.0001693,              0.0001693
                     62,                 1.0877,                 1.2942,                 1.3785,                0.46105,                0.39381,                 0.3524,                0.19819,                 1.7979,                 2.6757,                 2.1642,             0.00016517,             0.00016517,             0.00016517
                     63,                 1.1137,                 1.3073,                 1.3895,                0.40152,                0.36548,                0.35284,                0.20129,                  1.821,                 2.6738,                 2.1984,             0.00016105,             0.00016105,             0.00016105
                     64,                 1.0856,                 1.2634,                  1.365,                0.44939,                0.34725,                0.34746,                0.19039,                 1.8351,                 2.6857,                 2.2176,             0.00015692,             0.00015692,             0.00015692
                     65,                 1.0969,                 1.2877,                 1.3817,                0.51359,                  0.326,                0.34187,                0.19978,                 1.8054,                 2.6921,                 2.2116,             0.00015279,             0.00015279,             0.00015279
                     66,                 1.0761,                  1.254,                 1.3599,                0.47927,                 0.3319,                0.33965,                0.19283,                 1.7889,                 2.7144,                 2.1951,             0.00014866,             0.00014866,             0.00014866
                     67,                 1.0668,                 1.2185,                 1.3594,                0.50697,                0.34978,                0.34821,                0.19642,                 1.8407,                 2.7684,                 2.2689,             0.00014453,             0.00014453,             0.00014453
                     68,                 1.1106,                 1.2849,                 1.3912,                0.49002,                0.37383,                0.36206,                0.19971,                 1.8392,                 2.7085,                 2.2253,              0.0001404,              0.0001404,              0.0001404
                     69,                 1.0933,                 1.3124,                 1.3825,                0.47834,                0.33212,                0.35364,                 0.2065,                 1.8317,                 2.6914,                 2.1925,             0.00013628,             0.00013628,             0.00013628
                     70,                 1.0775,                 1.2418,                 1.3607,                0.51332,                0.38496,                0.37397,                0.20765,                 1.8273,                 2.6182,                 2.2334,             0.00013215,             0.00013215,             0.00013215
                     71,                 1.0606,                 1.2339,                 1.3616,                0.49911,                0.38855,                0.37298,                0.19867,                 1.8407,                 2.6342,                 2.2467,             0.00012802,             0.00012802,             0.00012802
                     72,                 1.0655,                 1.2246,                 1.3627,                0.53081,                0.38926,                0.37762,                0.20433,                 1.8147,                 2.6692,                 2.2252,             0.00012389,             0.00012389,             0.00012389
                     73,                 1.0339,                 1.2124,                 1.3451,                0.54358,                 0.3507,                0.36498,                0.19752,                 1.8212,                  2.655,                 2.2471,             0.00011976,             0.00011976,             0.00011976
                     74,                 1.0514,                 1.1632,                 1.3477,                0.51008,                0.36037,                0.37207,                0.20226,                 1.8287,                 2.6793,                 2.2318,             0.00011563,             0.00011563,             0.00011563
                     75,                 1.0553,                 1.1924,                 1.3553,                  0.496,                0.34579,                0.35945,                0.19507,                 1.8183,                 2.6236,                 2.2219,             0.00011151,             0.00011151,             0.00011151
                     76,                 1.0512,                 1.1306,                 1.3319,                0.44376,                 0.3633,                0.35579,                0.19324,                 1.8295,                 2.5821,                 2.2095,             0.00010738,             0.00010738,             0.00010738
                     77,                  1.059,                 1.1979,                 1.3547,                0.56744,                0.35173,                0.36049,                0.20074,                 1.8055,                 2.6364,                 2.1981,             0.00010325,             0.00010325,             0.00010325
                     78,                0.99629,                 1.1303,                 1.3191,                0.60066,                0.34901,                0.36529,                0.21064,                 1.7993,                 2.6247,                 2.1928,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                 1.0275,                 1.1736,                 1.3258,                0.45502,                0.40699,                0.37964,                0.21004,                 1.8083,                 2.5393,                 2.2068,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.98171,                 1.0822,                 1.3088,                0.55906,                0.34846,                0.37488,                0.20824,                 1.8382,                 2.5576,                 2.2277,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                 1.0151,                 1.1394,                 1.3329,                  0.527,                 0.3672,                0.38546,                0.21277,                 1.8433,                 2.5912,                 2.2614,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                 1.0064,                 1.1083,                 1.3089,                0.58986,                0.36011,                0.39175,                0.21648,                 1.8378,                 2.5911,                 2.2569,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                 1.0503,                 1.1411,                 1.3498,                0.50316,                0.37383,                0.38082,                0.21742,                 1.8324,                 2.5803,                 2.2449,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                 1.0005,                  1.121,                 1.3179,                0.56249,                0.34894,                 0.3675,                0.20506,                 1.8634,                 2.6481,                  2.256,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                 1.0061,                 1.1178,                 1.3249,                0.54062,                0.39556,                0.37266,                0.20716,                 1.8256,                 2.6435,                  2.251,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.98961,                  1.111,                 1.3161,                 0.4865,                 0.4084,                0.37849,                0.21061,                  1.847,                 2.6349,                 2.2516,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.99546,                 1.1076,                 1.3148,                0.49899,                0.40025,                0.37805,                0.20598,                 1.8378,                 2.5789,                 2.2245,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.99435,                 1.1222,                 1.2962,                0.59616,                0.38087,                0.39715,                0.21392,                 1.8362,                 2.5911,                 2.2353,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.97678,                 1.0549,                 1.3061,                0.60415,                0.36198,                0.36959,                0.21051,                 1.8139,                 2.6172,                 2.2319,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.97755,                 1.1232,                 1.3083,                0.51931,                0.39145,                0.37195,                0.20503,                  1.836,                 2.6113,                 2.2378,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.98609,                 1.1518,                 1.3706,                0.53244,                 0.3633,                0.36718,                0.20565,                 1.8427,                 2.6888,                  2.257,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.91716,                 1.0686,                 1.3138,                0.52766,                0.36951,                 0.3691,                0.20157,                 1.8423,                 2.6532,                 2.2666,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.93645,                 1.0084,                 1.3831,                0.53265,                0.36953,                0.38035,                0.20634,                 1.8437,                 2.6542,                 2.2626,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.87508,                 1.0076,                 1.2726,                0.51878,                0.36981,                0.37594,                0.20869,                 1.8329,                 2.5824,                 2.2341,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.88027,                0.99273,                 1.2797,                0.49898,                0.37452,                0.38277,                0.21597,                 1.8301,                 2.5504,                 2.2381,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.86663,                0.99711,                 1.2794,                0.46726,                0.40947,                0.38389,                0.21326,                 1.8338,                 2.5426,                 2.2472,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                0.85859,                0.94679,                 1.2826,                0.50845,                0.39776,                0.37935,                0.21541,                 1.8363,                 2.5345,                 2.2499,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                0.84304,                0.97114,                 1.2532,                0.47818,                0.39248,                0.37832,                0.21316,                  1.835,                 2.5394,                 2.2506,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.83575,                0.87384,                 1.2462,                0.58225,                0.36555,                0.38113,                0.21152,                 1.8358,                 2.5331,                 2.2504,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.84612,                0.96077,                 1.2617,                0.58081,                 0.3792,                0.38637,                 0.2155,                 1.8317,                 2.5198,                  2.249,             8.2983e-06,             8.2983e-06,             8.2983e-06
